Wall time,Step,Value
1540500345.372143,8812,0.053628109395504
1540500436.349155,9010,0.08737929910421371
1540500593.781284,9307,0.04155886545777321
1540500826.919478,9802,0.03662075102329254
1540500953.813817,10099,0.010073048993945122
1540501038.232617,10297,0.06901412457227707
1540501082.931947,10396,0.10426920652389526
1540501132.765173,10495,0.08721011132001877
1540501484.51117,11188,0.10874072462320328
1540501610.765507,11485,0.04652971774339676
1540501704.857689,11683,0.0357380285859108
1540501752.963478,11782,0.24669431149959564
1540501794.93867,11881,0.08397392183542252
1540501969.851178,12277,0.015204684808850288
1540502016.972553,12376,0.024058649316430092
1540502064.033993,12475,0.02014351449906826
1540502226.973939,12772,0.0683729350566864
1540502268.471988,12871,0.058771323412656784
1540502398.905217,13168,0.1911882609128952
1540502566.359979,13564,0.04345560073852539
1540502655.802301,13762,0.026299674063920975
1540502743.778986,13960,0.08451523631811142
1540502790.737911,14059,0.040212232619524
1540502839.307796,14158,0.07002997398376465
1540502895.487419,14257,0.08016719669103622
1540502961.554461,14356,0.15577387809753418
1540503009.763629,14455,0.3429926037788391
1540503093.837253,14653,0.05838312953710556
1540503178.930814,14851,0.11304238438606262
1540503307.201857,15148,0.18093083798885345
1540503350.923484,15247,0.42920398712158203
1540503393.820673,15346,0.1277252435684204
1540503482.598563,15544,0.14945614337921143
1540503533.227625,15643,0.03969099372625351
1540503582.241584,15742,0.005873439367860556
1540503689.888431,15940,0.01707381382584572
1540503751.730477,16039,0.058867618441581726
1540503835.96224,16237,0.1320885717868805
1540503877.28297,16336,0.011008387431502342
1540503960.812519,16534,0.010130624286830425
1540504003.014682,16633,0.08510597050189972
1540504046.500263,16732,0.0623626708984375
1540504139.15016,16930,0.02627507783472538
1540504316.464349,17326,0.011861118488013744
1540504367.341397,17425,0.029020586982369423
1540504419.47825,17524,0.2699698209762573
1540504476.947359,17623,0.03412239998579025
1540504573.638454,17821,0.17071068286895752
1540504615.394837,17920,0.012046046555042267
1540504698.521409,18118,0.048059429973363876
1540504787.778168,18316,0.01102580688893795
1540504829.692427,18415,0.01191258616745472
1540504873.736282,18514,0.062043074518442154
1540504915.81249,18613,0.024354685097932816
1540505005.566728,18811,0.015722062438726425
1540505050.74741,18910,0.33275842666625977
1540505410.836757,19603,0.1906154304742813
1540505579.086417,19999,0.06045093387365341
1540505752.204687,20395,0.1577758640050888
1540505796.163524,20494,0.05477122962474823
1540505842.782541,20593,0.1304607391357422
1540506063.42027,20989,0.02294095605611801
1540506113.670378,21088,0.12018704414367676
1540506155.498275,21187,0.05200236290693283
1540506196.689292,21286,0.02405158244073391
1540506321.39202,21583,0.04025304317474365
1540506365.182666,21682,0.03901328146457672
1540506448.699013,21880,0.02750488556921482
1540506494.327869,21979,0.01026121899485588
1540506542.340584,22078,0.07940445095300674
1540506634.217014,22276,0.009341093711555004
1540506680.543466,22375,0.14650686085224152
1540506730.610237,22474,0.12542939186096191
1540506849.152563,22672,0.41680556535720825
1540506891.523558,22771,0.1426091492176056
1540506933.709127,22870,0.056483685970306396
1540506975.62304,22969,0.18297111988067627
1540507019.264154,23068,0.01790478453040123
1540507061.114981,23167,0.01154804416000843
