Wall time,Step,Value
1540496199.86227,298,0.19732168316841125
1540496349.673286,496,0.05850663036108017
1540496413.789297,595,0.057785626500844955
1540496545.671595,793,0.05004013329744339
1540496676.967125,991,0.10024102032184601
1540496742.933232,1090,0.0810040533542633
1540496801.925353,1189,0.05205829441547394
1540496845.855069,1288,0.14443092048168182
1540496888.059306,1387,0.028439119458198547
1540496935.610594,1486,0.05095982179045677
1540496977.260757,1585,0.07140832394361496
1540497018.643845,1684,0.06830472499132156
1540497060.787844,1783,0.0855928584933281
1540497102.329583,1882,0.02410765178501606
1540497145.024977,1981,0.03802181035280228
1540497233.149386,2179,0.1351332664489746
1540497321.77514,2377,0.06753435730934143
1540497370.31574,2476,0.04126065596938133
1540497632.598781,2971,0.01389770396053791
1540497674.589828,3070,0.07750379294157028
1540497716.442991,3169,0.018962165340781212
1540497759.250311,3268,0.025251805782318115
1540497800.601522,3367,0.06836675852537155
1540497886.023204,3565,0.17212051153182983
1540498017.618126,3862,0.09442934393882751
1540498063.223754,3961,0.03984854370355606
1540498162.7933,4159,0.06310664117336273
1540498213.094729,4258,0.017149105668067932
1540498272.71701,4357,0.015065540559589863
1540498332.584235,4456,0.29228535294532776
1540498419.005986,4654,0.07181783020496368
1540498503.763414,4852,0.05928456038236618
1540498546.991516,4951,0.009692804887890816
1540498676.088728,5248,0.05009002983570099
1540498718.233748,5347,0.17242705821990967
1540498767.796358,5446,0.09339182078838348
1540498813.266895,5545,0.049569934606552124
1540498857.551994,5644,0.08473671227693558
1540499007.585912,5941,0.06167932227253914
1540499068.012583,6040,0.0071077193133533
1540499164.828983,6238,0.029634498059749603
1540499250.431265,6436,0.12270704656839371
1540499293.490084,6535,0.0942823514342308
1540499344.242188,6634,0.008776949718594551
1540499387.217151,6733,0.39818498492240906
1540499431.321464,6832,0.04072613641619682
1540499516.60914,7030,0.07085233926773071
1540499562.298777,7129,0.02375011146068573
1540499606.25015,7228,0.028981607407331467
1540499650.598374,7327,0.06251109391450882
1540499747.401979,7525,0.08098840713500977
1540499862.360114,7723,0.09014248102903366
1540499913.378778,7822,0.015826813876628876
1540500003.082989,8020,0.1309155374765396
1540500130.861583,8317,0.013800793327391148
1540500172.865881,8416,0.12521734833717346
1540500214.766691,8515,0.02917180024087429
1540500258.964241,8614,0.10247371345758438
1540500301.381344,8713,0.12069183588027954
1540500345.372143,8812,0.11869964003562927
1540500436.349155,9010,0.023519465699791908
1540500593.781284,9307,0.015068051405251026
1540500826.919478,9802,0.011639909818768501
1540500953.813817,10099,0.10025669634342194
1540501038.232617,10297,0.01704147830605507
1540501082.931947,10396,0.1453745812177658
1540501132.765173,10495,0.034867629408836365
1540501484.51117,11188,0.021433064714074135
1540501610.765507,11485,0.1306997835636139
1540501704.857689,11683,0.07103272527456284
1540501752.963478,11782,0.14549806714057922
1540501794.93867,11881,0.011916009709239006
1540501969.851178,12277,0.1699703484773636
1540502016.972553,12376,0.06670938432216644
1540502064.033993,12475,0.11971525847911835
1540502226.973939,12772,0.2665482461452484
1540502268.471988,12871,0.014347268268465996
1540502398.905217,13168,0.03216566890478134
1540502566.359979,13564,0.19572412967681885
1540502655.802301,13762,0.0070417094975709915
1540502743.778986,13960,0.025439441204071045
1540502790.737911,14059,0.04826396703720093
1540502839.307796,14158,0.024420320987701416
1540502895.487419,14257,0.09899073839187622
1540502961.554461,14356,0.05878104269504547
1540503009.763629,14455,0.005856506060808897
1540503093.837253,14653,0.20230112969875336
1540503178.930814,14851,0.09186367690563202
1540503307.201857,15148,0.059720590710639954
1540503350.923484,15247,0.026701390743255615
1540503393.820673,15346,0.20207107067108154
1540503482.598563,15544,0.016700616106390953
1540503533.227625,15643,0.031755927950143814
1540503582.241584,15742,0.08550740778446198
1540503689.888431,15940,0.01742488518357277
1540503751.730477,16039,0.0186141487210989
1540503835.96224,16237,0.07504512369632721
1540503877.28297,16336,0.007219882681965828
1540503960.812519,16534,0.032271891832351685
1540504003.014682,16633,0.12394042313098907
1540504046.500263,16732,0.06908218562602997
1540504139.15016,16930,0.012744856998324394
1540504316.464349,17326,0.08556902408599854
1540504367.341397,17425,0.06345134973526001
1540504419.47825,17524,0.031277384608983994
1540504476.947359,17623,0.028897790238261223
1540504573.638454,17821,0.05637544393539429
1540504615.394837,17920,0.03063085488975048
1540504698.521409,18118,0.045583222061395645
1540504787.778168,18316,0.04919474571943283
1540504829.692427,18415,0.019892824813723564
1540504873.736282,18514,0.08565296232700348
1540504915.81249,18613,0.04950275644659996
1540505005.566728,18811,0.11917217075824738
1540505050.74741,18910,0.18465708196163177
1540505410.836757,19603,0.08862355351448059
1540505579.086417,19999,0.10614724457263947
1540505752.204687,20395,0.04219817742705345
