Wall time,Step,Value
1540496199.86227,298,0.2416871190071106
1540496349.673286,496,0.7865593433380127
1540496413.789297,595,0.36015281081199646
1540496545.671595,793,0.29873573780059814
1540496676.967125,991,0.22475126385688782
1540496742.933232,1090,0.22458404302597046
1540496801.925353,1189,0.40243661403656006
1540496845.855069,1288,0.33867061138153076
1540496888.059306,1387,0.22686880826950073
1540496935.610594,1486,0.2055533528327942
1540496977.260757,1585,0.2451331913471222
1540497018.643845,1684,0.28493732213974
1540497060.787844,1783,0.24140962958335876
1540497102.329583,1882,0.2555787265300751
1540497145.024977,1981,0.27903708815574646
1540497233.149386,2179,0.4061824679374695
1540497321.77514,2377,0.33545151352882385
1540497370.31574,2476,0.26864367723464966
1540497632.598781,2971,0.2906932830810547
1540497674.589828,3070,0.23894193768501282
1540497716.442991,3169,0.30443817377090454
1540497759.250311,3268,0.19900253415107727
1540497800.601522,3367,0.24952200055122375
1540497886.023204,3565,0.25589582324028015
1540498017.618126,3862,0.18264536559581757
1540498063.223754,3961,0.31628531217575073
1540498162.7933,4159,0.35537222027778625
1540498213.094729,4258,0.20046961307525635
1540498272.71701,4357,0.1992338001728058
1540498332.584235,4456,0.2902510464191437
1540498419.005986,4654,0.30312860012054443
1540498503.763414,4852,0.2524622082710266
1540498546.991516,4951,0.292106032371521
1540498676.088728,5248,0.3141317367553711
1540498718.233748,5347,0.2152373492717743
1540498767.796358,5446,0.18509520590305328
1540498813.266895,5545,0.2743276357650757
1540498857.551994,5644,0.19229824841022491
1540499007.585912,5941,0.2431882619857788
1540499068.012583,6040,0.18687543272972107
1540499164.828983,6238,0.21928757429122925
1540499250.431265,6436,0.15951085090637207
1540499293.490084,6535,0.19180762767791748
1540499344.242188,6634,0.22414642572402954
1540499387.217151,6733,0.27563396096229553
1540499431.321464,6832,0.19469445943832397
1540499516.60914,7030,0.24347849190235138
1540499562.298777,7129,0.3109437823295593
1540499606.25015,7228,0.16427144408226013
1540499650.598374,7327,0.21968674659729004
1540499747.401979,7525,0.19891759753227234
1540499862.360114,7723,0.1746385395526886
1540499913.378778,7822,0.2000199556350708
1540500003.082989,8020,0.17429697513580322
1540500130.861583,8317,0.2602840065956116
1540500172.865881,8416,0.2897287905216217
1540500214.766691,8515,0.18942661583423615
1540500258.964241,8614,0.20557191967964172
1540500301.381344,8713,0.2356349378824234
1540500345.372143,8812,0.2264488786458969
1540500436.349155,9010,0.19381694495677948
1540500593.781284,9307,0.17268233001232147
1540500826.919478,9802,0.26701462268829346
1540500953.813817,10099,0.3233792781829834
1540501038.232617,10297,0.22410041093826294
1540501082.931947,10396,0.16689234972000122
1540501132.765173,10495,0.1430751383304596
1540501484.51117,11188,0.19719696044921875
1540501610.765507,11485,0.25659239292144775
1540501704.857689,11683,0.20344042778015137
1540501752.963478,11782,0.3199382424354553
1540501794.93867,11881,0.15897348523139954
1540501969.851178,12277,0.1583348959684372
1540502016.972553,12376,0.14913268387317657
1540502064.033993,12475,0.30160364508628845
1540502226.973939,12772,0.17624527215957642
1540502268.471988,12871,0.17722941935062408
1540502398.905217,13168,0.26986825466156006
1540502566.359979,13564,0.20507529377937317
1540502655.802301,13762,0.21566426753997803
1540502743.778986,13960,0.22935634851455688
1540502790.737911,14059,0.24808341264724731
1540502839.307796,14158,0.13765284419059753
1540502895.487419,14257,0.13168297708034515
1540502961.554461,14356,0.19140493869781494
1540503009.763629,14455,0.1593914031982422
1540503093.837253,14653,0.23519250750541687
1540503178.930814,14851,0.1932084709405899
1540503307.201857,15148,0.19680309295654297
1540503350.923484,15247,0.1793491542339325
1540503393.820673,15346,0.1586684286594391
1540503482.598563,15544,0.2586279809474945
1540503533.227625,15643,0.23632974922657013
1540503582.241584,15742,0.12901870906352997
1540503689.888431,15940,0.21077734231948853
1540503751.730477,16039,0.136436328291893
1540503835.96224,16237,0.159609854221344
1540503877.28297,16336,0.17723383009433746
1540503960.812519,16534,0.3743400573730469
1540504003.014682,16633,0.24106551706790924
1540504046.500263,16732,0.17078733444213867
1540504139.15016,16930,0.14559003710746765
1540504316.464349,17326,0.19775983691215515
1540504367.341397,17425,0.1719367504119873
1540504419.47825,17524,0.1909731924533844
1540504476.947359,17623,0.1392771452665329
1540504573.638454,17821,0.13850678503513336
1540504615.394837,17920,0.21809449791908264
1540504698.521409,18118,0.1516599804162979
1540504787.778168,18316,0.22673645615577698
1540504829.692427,18415,0.25627511739730835
1540504873.736282,18514,0.1519535779953003
1540504915.81249,18613,0.13692961633205414
1540505005.566728,18811,0.15645235776901245
1540505050.74741,18910,0.14531920850276947
1540505410.836757,19603,0.13995864987373352
1540505579.086417,19999,0.21638768911361694
1540505752.204687,20395,0.13160862028598785
1540505796.163524,20494,0.21034739911556244
1540505842.782541,20593,0.14672940969467163
1540506063.42027,20989,0.28252696990966797
1540506113.670378,21088,0.1501818299293518
1540506155.498275,21187,0.14809073507785797
1540506196.689292,21286,0.13380469381809235
1540506321.39202,21583,0.1847669631242752
1540506365.182666,21682,0.11269630491733551
1540506448.699013,21880,0.176224023103714
1540506494.327869,21979,0.22628524899482727
1540506542.340584,22078,0.21601217985153198
1540506634.217014,22276,0.20283648371696472
1540506680.543466,22375,0.17112433910369873
1540506730.610237,22474,0.1549789309501648
1540506849.152563,22672,0.12991370260715485
1540506891.523558,22771,0.14796625077724457
1540506933.709127,22870,0.11440148949623108
1540506975.62304,22969,0.1721927970647812
1540507019.264154,23068,0.15248757600784302
1540507061.114981,23167,0.1928168386220932
1540507194.202608,23464,0.1578938364982605
1540507236.214143,23563,0.15007604658603668
1540507323.360832,23761,0.16400407254695892
1540507517.008551,24157,0.15819151699543
1540507579.482061,24256,0.1361246556043625
1540507674.472513,24454,0.15898093581199646
1540507762.351128,24652,0.26394134759902954
1540507806.551023,24751,0.29689398407936096
1540507847.909156,24850,0.22764363884925842
1540508022.141306,25246,0.24062439799308777
1540508157.40242,25543,0.16530093550682068
1540508205.989484,25642,0.1301151067018509
1540508254.920849,25741,0.15831060707569122
1540508310.780846,25840,0.20066750049591064
1540508424.892197,26038,0.1264249086380005
1540508603.281913,26434,0.14506128430366516
1540508687.083045,26632,0.15913251042366028
1540508774.377186,26830,0.12485383450984955
1540508817.885742,26929,0.12779150903224945
1540508862.522599,27028,0.11240024864673615
1540508906.962165,27127,0.15829487144947052
1540509057.618522,27424,0.18026025593280792
1540509115.197396,27523,0.1599692851305008
1540509218.645092,27721,0.11821854114532471
1540509301.933291,27919,0.20618221163749695
1540509387.413545,28117,0.16918033361434937
1540509606.408106,28612,0.22292524576187134
1540509698.11856,28810,0.1563282608985901
1540509744.85837,28909,0.161265030503273
1540509905.030194,29206,0.2020641565322876
1540509964.091358,29305,0.15797840058803558
1540510004.676862,29404,0.17857986688613892
1540510045.790756,29503,0.12239141762256622
1540510089.232039,29602,0.1634274274110794
1540510136.121422,29701,0.16057109832763672
1540510177.46323,29800,0.16573303937911987
1540510218.906758,29899,0.18167681992053986
1540510262.460776,29998,0.1533299684524536
1540510435.194401,30394,0.18319793045520782
1540510479.234492,30493,0.09868630021810532
1540510577.647206,30691,0.2474358081817627
1540510751.603178,30988,0.10264725983142853
1540510922.809479,31384,0.14552445709705353
1540510964.872361,31483,0.14440560340881348
1540511006.729962,31582,0.14119097590446472
1540511050.641836,31681,0.13964733481407166
1540511136.156044,31879,0.10998176038265228
1540511225.612217,32077,0.14103248715400696
1540511271.459178,32176,0.10704667866230011
1540511320.254668,32275,0.2345162034034729
1540511374.024745,32374,0.14378303289413452
1540511534.800787,32671,0.12358957529067993
1540511575.227788,32770,0.1712794154882431
1540511660.678143,32968,0.12355326116085052
1540511830.041988,33364,0.13920563459396362
1540511917.413506,33562,0.13280744850635529
1540512012.812354,33760,0.1744963824748993
1540512059.149271,33859,0.11268860101699829
1540512106.93244,33958,0.20883481204509735
1540512160.407534,34057,0.15604528784751892
1540512218.251481,34156,0.1795426607131958
1540512320.267218,34354,0.11346323788166046
1540512361.152968,34453,0.11111856251955032
1540512487.266415,34750,0.185031458735466
1540512580.005469,34948,0.23160725831985474
1540512622.177212,35047,0.1284204125404358
1540512713.470292,35245,0.17687946557998657
1540512805.819828,35443,0.11017635464668274
1540512851.784319,35542,0.18125712871551514
1540512900.050954,35641,0.19099217653274536
1540513024.960531,35839,0.16311416029930115
1540513078.50022,35938,0.1570601463317871
1540513119.386425,36037,0.11100396513938904
1540513166.24719,36136,0.15311723947525024
1540513251.781485,36334,0.15363939106464386
1540513292.998505,36433,0.18689626455307007
1540513378.159709,36631,0.16999422013759613
1540513419.194686,36730,0.15599915385246277
1540513507.652201,36928,0.21547216176986694
1540513599.932291,37126,0.2465582937002182
1540513646.943947,37225,0.15081211924552917
1540513696.086292,37324,0.1380685269832611
1540513758.859755,37423,0.20050987601280212
1540513818.360735,37522,0.18938669562339783
1540513905.148844,37720,0.13936789333820343
1540513945.634249,37819,0.10800163447856903
1540514072.560037,38116,0.11324621737003326
1540514119.531659,38215,0.12238472700119019
1540514162.855798,38314,0.200400710105896
1540514204.571508,38413,0.1402772217988968
1540514296.630406,38611,0.12924788892269135
1540514345.705604,38710,0.13193364441394806
1540514393.76726,38809,0.23967808485031128
1540514441.847386,38908,0.16526579856872559
1540514699.489079,39403,0.23946720361709595
1540514863.552873,39799,0.1666414588689804
1540514905.609427,39898,0.12625820934772491
1540514997.336992,40096,0.14410817623138428
1540515040.012339,40195,0.14664869010448456
1540515131.74294,40393,0.19374650716781616
1540515480.902171,41086,0.18774008750915527
1540515524.743664,41185,0.14441972970962524
1540515656.111916,41482,0.1646241396665573
1540515697.329094,41581,0.1330968737602234
1540515738.030998,41680,0.11314147710800171
1540515783.01086,41779,0.13133744895458221
1540515869.934777,41977,0.12765775620937347
1540515964.591555,42175,0.15928921103477478
1540516071.366623,42373,0.13049054145812988
1540516187.691602,42571,0.17287592589855194
1540516269.717671,42769,0.1317977011203766
1540516395.57815,43066,0.2279999554157257
1540516571.658256,43462,0.1561301052570343
1540516613.498535,43561,0.1720038503408432
1540516656.622792,43660,0.11037103831768036
1540516706.908864,43759,0.18409207463264465
1540516809.60241,43957,0.15078219771385193
1540516867.995928,44056,0.17062930762767792
1540517014.75241,44353,0.15632382035255432
1540517055.970835,44452,0.17469117045402527
1540517140.070275,44650,0.1477004587650299
1540517266.643969,44947,0.1341605931520462
1540517402.715887,45244,0.17122192680835724
1540517446.805747,45343,0.1428394615650177
1540517496.30629,45442,0.15832781791687012
1540517543.820075,45541,0.11350454390048981
1540517598.940597,45640,0.14082719385623932
1540517711.149004,45838,0.17625126242637634
1540517754.259733,45937,0.20573380589485168
1540517795.035326,46036,0.19379162788391113
1540517836.255575,46135,0.11904764175415039
1540517879.844899,46234,0.15466031432151794
1540517921.822274,46333,0.16843821108341217
1540517968.817283,46432,0.20452167093753815
1540518055.44483,46630,0.20009255409240723
1540518143.100173,46828,0.1603824645280838
1540518187.177581,46927,0.14689487218856812
1540518328.478536,47224,0.20720994472503662
1540518384.34616,47323,0.1280536949634552
1540518579.764867,47719,0.215038001537323
1540518705.30971,48016,0.1044527143239975
1540518750.568145,48115,0.10250426828861237
1540518832.541144,48313,0.19829097390174866
1540518877.795214,48412,0.1796422153711319
1540518963.905256,48610,0.1262502819299698
1540519060.992214,48808,0.1554291546344757
1540519237.616866,49105,0.21390990912914276
1540519286.633956,49204,0.13536885380744934
1540519535.477663,49798,0.15042060613632202
1540519665.014337,50095,0.1280527114868164
1540519711.886157,50194,0.12092353403568268
1540519760.427336,50293,0.13929587602615356
1540519856.632344,50491,0.17976102232933044
1540519906.278704,50590,0.14829549193382263
1540519964.010386,50689,0.08861719071865082
1540520070.892527,50887,0.2042349874973297
1540520110.889624,50986,0.1146639883518219
1540520154.988399,51085,0.15048286318778992
1540520195.952,51184,0.14882513880729675
1540520236.882945,51283,0.16754058003425598
1540520282.073929,51382,0.19830745458602905
1540520322.744481,51481,0.14535078406333923
1540520503.630966,51877,0.16955018043518066
1540520552.255991,51976,0.137612983584404
1540520859.155104,52570,0.1617068350315094
1540520950.430696,52768,0.15765370428562164
1540520991.409458,52867,0.19100722670555115
1540521033.213997,52966,0.13055408000946045
1540521079.205177,53065,0.10437314212322235
1540521120.297117,53164,0.153865247964859
1540521161.837931,53263,0.11751578748226166
1540521208.243598,53362,0.09418529272079468
1540521250.818707,53461,0.17287316918373108
1540521294.215843,53560,0.16515681147575378
1540521343.356387,53659,0.16735613346099854
1540521388.67738,53758,0.15560190379619598
1540521435.828329,53857,0.156899094581604
1540521558.768095,54055,0.13516618311405182
1540521609.399917,54154,0.2084519863128662
1540521650.485818,54253,0.15517210960388184
1540521690.947393,54352,0.09864041209220886
1540521776.031778,54550,0.15099038183689117
1540521817.003384,54649,0.15485838055610657
1540521863.274597,54748,0.15346357226371765
1540521946.848211,54946,0.09533718228340149
1540522036.891593,55144,0.15383708477020264
1540522139.675408,55342,0.17650046944618225
1540522185.496214,55441,0.12956303358078003
1540522357.497552,55738,0.09898418933153152
1540522403.947502,55837,0.1320546269416809
1540522443.911126,55936,0.09671332687139511
1540522532.29255,56134,0.10741090774536133
1540522573.242459,56233,0.13969042897224426
1540522614.063009,56332,0.154587522149086
1540522700.919355,56530,0.1363658607006073
1540522797.282362,56728,0.10935090482234955
1540522840.004005,56827,0.12222243845462799
1540522934.213895,57025,0.12354256212711334
1540522981.512543,57124,0.11486497521400452
1540523037.623813,57223,0.11603185534477234
1540523096.088568,57322,0.1394614726305008
1540523155.413725,57421,0.13476213812828064
1540523196.664835,57520,0.13392090797424316
1540523236.65285,57619,0.1126299649477005
1540523281.721337,57718,0.171585351228714
1540523321.640345,57817,0.20443466305732727
1540523413.318051,58015,0.1399698108434677
1540523455.121624,58114,0.17225918173789978
1540523497.886108,58213,0.17234006524085999
1540523630.614465,58510,0.16503840684890747
1540523679.613245,58609,0.2104669064283371
1540523725.299145,58708,0.10612243413925171
1540523830.899164,58906,0.12856565415859222
1540523891.542105,59005,0.16994136571884155
1540523952.278445,59104,0.1061212420463562
1540523993.081313,59203,0.12418243288993835
1540524077.358758,59401,0.10559837520122528
1540524158.958187,59599,0.16090306639671326
1540524200.153818,59698,0.15429720282554626
1540524246.187773,59797,0.17020472884178162
1540524331.449783,59995,0.11526669561862946
1540524423.294497,60193,0.15961375832557678
1540524516.538909,60391,0.11091063916683197
1540524570.258372,60490,0.13064326345920563
1540524625.490506,60589,0.162850484251976
1540524778.979737,60886,0.13423176109790802
1540524952.862097,61282,0.15635865926742554
1540524994.403747,61381,0.12132061272859573
1540525036.093948,61480,0.13401930034160614
1540525080.710536,61579,0.0944383293390274
1540525123.32666,61678,0.11967722326517105
1540525221.943622,61876,0.19778327643871307
1540525427.13438,62272,0.09750717133283615
1540525488.858216,62371,0.09785950928926468
1540525572.902172,62569,0.10735023021697998
1540525660.660208,62767,0.2089514434337616
1540525835.751304,63163,0.0992823988199234
1540525971.714392,63460,0.194488987326622
1540526020.905387,63559,0.16559430956840515
1540526113.580813,63757,0.10186513513326645
1540526169.396852,63856,0.14880616962909698
1540526227.927401,63955,0.20930936932563782
1540526284.126364,64054,0.14662137627601624
1540526324.455058,64153,0.15750117599964142
1540526369.4858,64252,0.16657420992851257
1540526416.484825,64351,0.12255062162876129
1540526457.471547,64450,0.15259844064712524
1540526498.470329,64549,0.19347640872001648
1540526675.922601,64945,0.10394443571567535
1540526717.98113,65044,0.17240631580352783
1540526811.457092,65242,0.09903888404369354
1540526903.996349,65440,0.1420944333076477
1540526968.236042,65539,0.18585699796676636
1540527026.415486,65638,0.14797812700271606
1540527077.529004,65737,0.13134746253490448
1540527118.349517,65836,0.1914631426334381
1540527158.373026,65935,0.13077160716056824
1540527204.349013,66034,0.14232096076011658
1540527246.447992,66133,0.113139808177948
