Wall time,Step,Value
1540496199.86227,298,0.2431063950061798
1540496349.673286,496,0.024529965594410896
1540496413.789297,595,0.08817490190267563
1540496545.671595,793,0.12131915986537933
1540496676.967125,991,0.05689389631152153
1540496742.933232,1090,0.35779860615730286
1540496801.925353,1189,0.03137191757559776
1540496845.855069,1288,0.15941627323627472
1540496888.059306,1387,0.07294020056724548
1540496935.610594,1486,0.09255319833755493
1540496977.260757,1585,0.022318368777632713
1540497018.643845,1684,0.07686735689640045
1540497060.787844,1783,0.03012939915060997
1540497102.329583,1882,0.13808806240558624
1540497145.024977,1981,0.014336659573018551
1540497233.149386,2179,0.12629416584968567
1540497321.77514,2377,0.05446482077240944
1540497370.31574,2476,0.11146403849124908
1540497632.598781,2971,0.02613619714975357
1540497674.589828,3070,0.028999658301472664
1540497716.442991,3169,0.14551857113838196
1540497759.250311,3268,0.038872186094522476
1540497800.601522,3367,0.026005355641245842
1540497886.023204,3565,0.013075849041342735
1540498017.618126,3862,0.016693882644176483
1540498063.223754,3961,0.42151880264282227
1540498162.7933,4159,0.008471772074699402
1540498213.094729,4258,0.04878845810890198
1540498272.71701,4357,0.029182350262999535
1540498332.584235,4456,0.2629682421684265
1540498419.005986,4654,0.08653783798217773
1540498503.763414,4852,0.12168116122484207
1540498546.991516,4951,0.018110143020749092
1540498676.088728,5248,0.08633420616388321
1540498718.233748,5347,0.009956412017345428
1540498767.796358,5446,0.10674696415662766
1540498813.266895,5545,0.05095125734806061
1540498857.551994,5644,0.0685061663389206
1540499007.585912,5941,0.01420535333454609
1540499068.012583,6040,0.028488999232649803
1540499164.828983,6238,0.0206723902374506
1540499250.431265,6436,0.07182139903306961
1540499293.490084,6535,0.03861945495009422
1540499344.242188,6634,0.009101007133722305
1540499387.217151,6733,0.0888427346944809
1540499431.321464,6832,0.02276334911584854
1540499516.60914,7030,0.0096422228962183
1540499562.298777,7129,0.015595854260027409
1540499606.25015,7228,0.06532422453165054
