Wall time,Step,Value
1540496199.86227,298,0.23550164699554443
1540496349.673286,496,0.5164360404014587
1540496413.789297,595,0.3673466742038727
1540496545.671595,793,0.2640407979488373
1540496676.967125,991,0.18640869855880737
1540496742.933232,1090,0.23894529044628143
1540496801.925353,1189,0.4202946722507477
1540496845.855069,1288,0.35977423191070557
1540496888.059306,1387,0.28774264454841614
1540496935.610594,1486,0.21967124938964844
1540496977.260757,1585,0.2849750220775604
1540497018.643845,1684,0.3322609066963196
1540497060.787844,1783,0.27009299397468567
1540497102.329583,1882,0.3162533640861511
1540497145.024977,1981,0.3799452781677246
1540497233.149386,2179,0.44862326979637146
1540497321.77514,2377,0.4599718749523163
1540497370.31574,2476,0.279500275850296
1540497632.598781,2971,0.3809037208557129
1540497674.589828,3070,0.249363973736763
1540497716.442991,3169,0.2764345705509186
1540497759.250311,3268,0.16808247566223145
1540497800.601522,3367,0.25040751695632935
1540497886.023204,3565,0.21729318797588348
1540498017.618126,3862,0.20619988441467285
1540498063.223754,3961,0.4102236330509186
1540498162.7933,4159,0.18464724719524384
1540498213.094729,4258,0.22947406768798828
1540498272.71701,4357,0.2147938758134842
1540498332.584235,4456,0.19872210919857025
1540498419.005986,4654,0.3251791000366211
1540498503.763414,4852,0.25202712416648865
1540498546.991516,4951,0.18940679728984833
1540498676.088728,5248,0.287225604057312
1540498718.233748,5347,0.2515488862991333
1540498767.796358,5446,0.24115204811096191
1540498813.266895,5545,0.21201807260513306
1540498857.551994,5644,0.16473828256130219
1540499007.585912,5941,0.3205196261405945
1540499068.012583,6040,0.23352324962615967
1540499164.828983,6238,0.18387676775455475
1540499250.431265,6436,0.12283436208963394
1540499293.490084,6535,0.17496711015701294
1540499344.242188,6634,0.3116006851196289
1540499387.217151,6733,0.30310460925102234
1540499431.321464,6832,0.14652563631534576
1540499516.60914,7030,0.28145959973335266
1540499562.298777,7129,0.25821608304977417
1540499606.25015,7228,0.17418815195560455
1540499650.598374,7327,0.2664474546909332
1540499747.401979,7525,0.1522127389907837
1540499862.360114,7723,0.1882139891386032
1540499913.378778,7822,0.20079992711544037
1540500003.082989,8020,0.22274994850158691
1540500130.861583,8317,0.35019898414611816
1540500172.865881,8416,0.15001602470874786
1540500214.766691,8515,0.18300007283687592
1540500258.964241,8614,0.14474104344844818
1540500301.381344,8713,0.13638460636138916
1540500345.372143,8812,0.16734910011291504
1540500436.349155,9010,0.1925715059041977
1540500593.781284,9307,0.190651997923851
1540500826.919478,9802,0.2222273349761963
1540500953.813817,10099,0.16976909339427948
1540501038.232617,10297,0.22094108164310455
